lat;long;featured
9.7120181;38.8476348;A
49.2407046;4.0507876;A
44.127204;4.083352;A
44.127204;4.083352;A
46.2169785;4.2524594;A
46.2169785;4.2524594;A
46.4355411;4.2767959;A
50.8749412;4.3179075000001;A
50.8503396;4.3517103;A
50.8503483;4.3517197;A
50.832578;4.3889939000001;A
48.384672;-4.473956;B
48.384672;-4.473956;A
52.3616114;4.5179256;A
52.3741577;4.5264029;A
44.7719649;4.5777655;A
45.5315425;4.6251662;A
45.5316897;4.6256767;A
45.318722;4.763234;A
45.3182844;4.7637073;A
45.5814449;4.7797309;A
46.1730896;4.8039821;A
43.9486769;4.8060918;A
43.9486769;4.8060918;A
43.9486769;4.8060918;A
43.9486769;4.8060918;A
50.2423532;4.8335115;A
52.3558453;4.8786659;A
52.370242;4.8949849;A
44.4195009;4.909444;B
44.6268578;4.9391044;A
47.1750801;4.955768;A
47.1750801;4.955768;A
47.1750801;4.955768;A
47.1750801;4.955768;A
47.1750801;4.955768;A
47.1750801;4.955768;B
47.1750801;4.955768;A
44.3837514;4.9891528000001;A
9.145;40.489673;A
-22.9068467;-43.1728965;A
-22.9068467;-43.1728965;A
-22.9068467;-43.1728965;A
-22.9068467;-43.1728965;A
-22.952352;-43.2114467;A
33.315241;44.3660671;A
23.9356616;45.0958032;B
23.9161525;45.1300581;A
6.1476006;46.2059774;A
6.1404279999999;46.2266077;B
6.140428;46.2266077;A
-23.5505199;-46.6333094;B
-23.5505199;-46.6333094;A
-23.6532716;-46.7062224;A
-23.6532716;-46.7062224;A
-23.6532716;-46.7062224;A
40.4352704;49.863727;A
47.3235022;5.0271879;A
54.963105022539;5.088532875;A
47.1287727;5.0929458;A
47.1287727;5.0929458;A
44.390715;5.097797;A
44.390715;5.097797;A
44.390715;5.097797;A
44.390715;5.097797;A
44.390715;5.097797;A
43.4758393;5.1671023;A
45.9615859;5.213426;A
45.9615859;5.213426;B
43.275017;5.304357;A
43.286266661399;5.3150351987301;A
43.2842019;5.3185683;A
43.2850514;5.3197324;A
45.9582978;5.3596257;A
43.2949206;5.3624134;A
43.2892917;5.3631067;A
43.3035953;5.3660975;A
43.293652472572;5.3663600598022;A
43.2946207771;5.3701366101;A
43.295756731164;5.3758724809204;A
43.296115930281;5.3769990087067;A
43.296573658049;5.3785768709557;A
43.2972709;5.3801215;A
43.2976101;5.3810187;A
43.2976101;5.3810187;A
43.2976101;5.3810187;A
46.509436;5.406537;A
46.509436;5.406537;A
46.509436;5.406537;A
46.5209435;5.4067926;A
43.5264801;5.4451034;B
43.204835;5.534096;A
43.215134;5.53712;A
43.2123347;5.5393473;A
46.6258719;5.5771525;A
50.632863;5.5796726;A
43.173653;5.605155;A
46.762475;5.6729159;A
43.8188727;5.78629;A
43.118021;5.801435;A
43.118021;5.801435;A
46.1930954;5.8165473;A
46.0873884;5.8168257;A
44.0626054;5.8355197;A
44.0626054;5.8355197;A
43.965612;5.8859229;A
43.9687261;5.8899829;A
43.9283656;5.8906755;A
46.1202637;5.8919827;B
46.12044217955;5.8928410068848;A
46.0814575;5.9003039;A
46.1359423;5.9041677;A
45.5639441;5.9172017;A
43.9146124;5.9217281;A
43.1251575;5.9311309;A
45.8672596;5.94201;A
44.1947549;5.943306;A
46.142658339035;5.9580036071929;A
46.142695507206;5.958014336029;A
46.142643471759;5.958014336029;A
46.142690994784;5.9581802969589;B
46.1426077222;5.958223735582;B
46.133908253321;5.9587546257171;A
46.13454764397;5.9592588810119;A
46.144236105831;5.9610640076789;A
46.144345748722;5.9636577037963;A
46.142896214898;5.963775720993;A
45.847083;5.9639985;A
46.144278848001;5.9644301799926;A
43.258511646165;5.9660174056488;A
43.2585887;5.9661284;A
43.2586579;5.9662049999999;A
46.1495981;5.9712875;A
46.1513223;5.9894471;A
46.209288;5.9922424;A
46.209288;5.9922424;A
46.1618647;5.9938491;A
46.1949317;5.994907;A
46.194808965972;5.9951194190491;A
46.1974399;5.9953012;B
46.1942148354;5.99532326693;B
46.1942;5.99534;A
46.196940356597;5.9953447246063;A
46.366475;5.996778;A
46.1800904;5.9992521;A
46.1691798;5.9997527;A
46.1786326;5.9999706;A
-25.2520888;-52.0215415;A
-20.0384669;57.5479124;A
-20.0411;57.5500187;A
-20.0411;57.5500187;A
-20.0411;57.5500187;A
-34.5921726;-58.3921776;A
-34.5695916;-58.4227915;A
-32.456316458949;-58.480176962371;A
36.2604623;59.6167549;B
-29.117939493242;-59.659234914819;A
46.207336;6.0001703;A
46.176470672594;6.0005046489349;A
46.1697048;6.0011648;B
46.1699676;6.0024934000001;A
46.178709940879;6.0032205218429;A
46.1785889;6.0033681;A
43.235049135742;6.0034009843751;A
46.1446718;6.0080257;A
46.1871557;6.0129454;A
46.1871557;6.0129454;A
46.1871557;6.0129454;A
46.187761715554;6.0137830330798;A
46.188123287666;6.0140714859318;A
46.188133337015;6.0140907723044;A
46.188095916347;6.014111131186;A
46.188032767951;6.0141317467833;A
46.1855827;6.0141468;A
46.188093691011;6.0141647875517;A
46.1739606;6.0169077;A
46.17384273565;6.0171076677063;A
46.1737945;6.0171806;A
46.1877909;6.0175354;A
46.1877909;6.0175354;A
46.187485851674;6.0177346883911;A
46.1736511;6.0186478;A
46.1747142;6.0188061;A
46.1738625;6.0190049;A
46.1727694;6.0193701000001;A
46.174209;6.0193714;B
46.1741622;6.0195753;A
46.1741622;6.0195753;A
46.1741622;6.0195753;A
46.1741622;6.0195753;A
46.1739691;6.0196108;A
